epoch,step,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
0,9,5.87891960144043,0.0,0.0234375,,,
0,19,5.79530143737793,0.0234375,0.0546875,,,
0,29,5.738389492034912,0.0234375,0.046875,,,
0,39,5.490755081176758,0.0546875,0.1171875,,,
0,49,5.25750732421875,0.015625,0.15625,,,
0,59,5.103157043457031,0.0546875,0.203125,,,
0,69,4.800169467926025,0.15625,0.2890625,,,
0,79,4.6934895515441895,0.1171875,0.2578125,,,
0,89,4.657101154327393,0.1015625,0.3046875,,,
0,99,4.537258148193359,0.15625,0.3359375,,,
0,109,4.271244049072266,0.1875,0.34375,,,
0,119,4.289741039276123,0.15625,0.359375,,,
0,129,4.325800895690918,0.1328125,0.390625,,,
0,139,4.206016540527344,0.1796875,0.421875,,,
0,149,3.9893269538879395,0.25,0.5,,,
0,159,3.9369165897369385,0.234375,0.53125,,,
0,169,4.066473960876465,0.1953125,0.4296875,,,
0,179,3.960009813308716,0.25,0.5078125,,,
0,189,4.016253471374512,0.21875,0.4453125,,,
0,199,4.037877082824707,0.25,0.4609375,,,
0,209,3.702009677886963,0.2421875,0.5390625,,,
0,219,3.5985517501831055,0.3046875,0.5625,,,
0,229,3.5944881439208984,0.3125,0.625,,,
0,239,3.7262253761291504,0.28125,0.546875,,,
0,249,3.8179566860198975,0.25,0.53125,,,
0,259,3.589862108230591,0.2890625,0.5546875,,,
0,269,3.566070556640625,0.328125,0.5546875,,,
0,279,3.6527342796325684,0.28125,0.6171875,,,
0,289,3.6770706176757812,0.296875,0.578125,,,
0,299,3.6216509342193604,0.296875,0.5703125,,,
0,309,3.3375487327575684,0.359375,0.65625,,,
0,319,3.4526586532592773,0.3203125,0.6015625,,,
0,329,3.4326789379119873,0.3828125,0.6015625,,,
0,339,3.531013011932373,0.3125,0.515625,,,
0,349,3.28790283203125,0.3828125,0.6328125,,,
0,359,3.4137585163116455,0.3828125,0.6328125,,,
0,369,3.32717227935791,0.4140625,0.6484375,,,
0,379,3.475545644760132,0.3125,0.6171875,,,
0,389,3.435680866241455,0.3671875,0.609375,,,
0,399,3.5043113231658936,0.375,0.578125,,,
0,409,3.245879650115967,0.4375,0.6171875,,,
0,419,3.3077261447906494,0.375,0.6953125,,,
0,429,3.2253990173339844,0.421875,0.6328125,,,
0,439,3.021242380142212,0.4140625,0.6953125,,,
0,449,3.181800603866577,0.3984375,0.65625,,,
0,459,3.208876848220825,0.375,0.6796875,,,
0,469,3.1895248889923096,0.4609375,0.671875,,,
0,479,3.2920634746551514,0.390625,0.640625,,,
0,489,3.0381879806518555,0.4296875,0.6640625,,,
0,499,2.9454352855682373,0.4375,0.734375,,,
0,509,3.286640167236328,0.3359375,0.625,,,
0,519,3.2078397274017334,0.40625,0.65625,,,
0,529,3.2461514472961426,0.375,0.6953125,,,
0,539,3.109628677368164,0.421875,0.671875,,,
0,549,3.2507734298706055,0.375,0.6484375,,,
0,559,2.906332015991211,0.4140625,0.765625,,,
0,569,2.9614996910095215,0.453125,0.75,,,
0,579,3.189509630203247,0.375,0.6171875,,,
0,589,3.0419299602508545,0.421875,0.7109375,,,
0,599,2.9423203468322754,0.4609375,0.7265625,,,
0,609,3.3853671550750732,0.3515625,0.6640625,,,
0,619,2.6657862663269043,0.515625,0.75,,,
0,629,2.8912391662597656,0.453125,0.7265625,,,
0,639,3.1759822368621826,0.4296875,0.6796875,,,
0,649,3.054128885269165,0.375,0.65625,,,
0,659,3.0887503623962402,0.453125,0.6953125,,,
0,669,3.032824993133545,0.46875,0.7109375,,,
0,679,2.865199327468872,0.53125,0.75,,,
0,689,3.1303279399871826,0.46875,0.671875,,,
0,699,2.9896440505981445,0.4765625,0.7421875,,,
0,709,3.0875401496887207,0.390625,0.6875,,,
0,719,2.771209716796875,0.53125,0.7578125,,,
0,729,3.0339975357055664,0.4296875,0.65625,,,
0,739,2.834862470626831,0.453125,0.7734375,,,
0,749,3.1561622619628906,0.4453125,0.75,,,
0,750,,,,3.1138532161712646,0.42441070079803467,0.6889470815658569
1,759,3.025479793548584,0.4296875,0.703125,,,
1,769,3.2363662719726562,0.421875,0.625,,,
1,779,2.834717273712158,0.546875,0.7578125,,,
1,789,2.811495304107666,0.5234375,0.78125,,,
1,799,2.8094754219055176,0.5390625,0.765625,,,
1,809,3.04591965675354,0.4765625,0.7265625,,,
1,819,2.887204170227051,0.46875,0.7421875,,,
1,829,2.8887217044830322,0.4453125,0.7734375,,,
1,839,3.028139591217041,0.4140625,0.65625,,,
1,849,3.1862571239471436,0.3984375,0.6875,,,
1,859,2.6135549545288086,0.5546875,0.7578125,,,
1,869,2.7601945400238037,0.5078125,0.7734375,,,
1,879,2.907655715942383,0.4375,0.765625,,,
1,889,2.6497950553894043,0.546875,0.765625,,,
1,899,2.712975025177002,0.5390625,0.796875,,,
1,909,2.9002933502197266,0.4296875,0.7734375,,,
1,919,2.8147974014282227,0.4921875,0.7734375,,,
1,929,2.7660634517669678,0.5,0.796875,,,
1,939,2.9328579902648926,0.4453125,0.71875,,,
1,949,2.853876829147339,0.4453125,0.7578125,,,
1,959,3.1261672973632812,0.4140625,0.65625,,,
1,969,3.0610270500183105,0.3984375,0.7265625,,,
1,979,2.6640625,0.5078125,0.8125,,,
1,989,2.6413400173187256,0.5078125,0.78125,,,
1,999,2.7245078086853027,0.5234375,0.7890625,,,
1,1009,2.9506702423095703,0.5078125,0.71875,,,
1,1019,2.9134316444396973,0.4609375,0.75,,,
1,1029,2.756930351257324,0.5703125,0.7578125,,,
1,1039,2.9051504135131836,0.453125,0.703125,,,
1,1049,2.8140413761138916,0.515625,0.7890625,,,
1,1059,2.8490912914276123,0.4921875,0.734375,,,
1,1069,2.67203950881958,0.4921875,0.8203125,,,
1,1079,2.7961783409118652,0.53125,0.7578125,,,
1,1089,2.631493091583252,0.5546875,0.78125,,,
1,1099,2.7942237854003906,0.4296875,0.7578125,,,
1,1109,2.7957966327667236,0.5,0.796875,,,
1,1119,2.8075382709503174,0.4453125,0.765625,,,
1,1129,2.6842668056488037,0.53125,0.8046875,,,
1,1139,2.580151081085205,0.5625,0.8203125,,,
1,1149,2.8846588134765625,0.5078125,0.7421875,,,
1,1159,2.774336576461792,0.53125,0.7265625,,,
1,1169,2.6446146965026855,0.5625,0.796875,,,
1,1179,2.7616961002349854,0.53125,0.7421875,,,
1,1189,2.745698928833008,0.5,0.7421875,,,
1,1199,2.7210259437561035,0.5625,0.7578125,,,
1,1209,2.6131365299224854,0.5390625,0.796875,,,
1,1219,2.6755452156066895,0.5390625,0.796875,,,
1,1229,2.7500553131103516,0.4921875,0.7421875,,,
1,1239,2.7229700088500977,0.5234375,0.78125,,,
1,1249,2.752760410308838,0.4765625,0.75,,,
1,1259,2.705261468887329,0.515625,0.78125,,,
1,1269,2.6117069721221924,0.5625,0.7890625,,,
1,1279,2.778733491897583,0.484375,0.75,,,
1,1289,2.9397406578063965,0.46875,0.7265625,,,
1,1299,2.778193473815918,0.5078125,0.7578125,,,
1,1309,2.520470380783081,0.546875,0.84375,,,
1,1319,2.7311835289001465,0.484375,0.8046875,,,
1,1329,2.786159038543701,0.5234375,0.7421875,,,
1,1339,2.6045336723327637,0.6015625,0.8359375,,,
1,1349,2.629378080368042,0.546875,0.765625,,,
1,1359,2.559176445007324,0.484375,0.8203125,,,
1,1369,2.8185811042785645,0.4765625,0.7578125,,,
1,1379,2.675175666809082,0.5234375,0.796875,,,
1,1389,2.3910646438598633,0.640625,0.859375,,,
1,1399,2.418454885482788,0.578125,0.8671875,,,
1,1409,2.6393508911132812,0.5,0.7578125,,,
1,1419,2.8616318702697754,0.421875,0.7109375,,,
1,1429,2.588027000427246,0.546875,0.796875,,,
1,1439,2.760183811187744,0.5078125,0.765625,,,
1,1449,2.455380439758301,0.578125,0.8125,,,
1,1459,2.555553674697876,0.546875,0.8046875,,,
1,1469,2.662090539932251,0.5390625,0.8046875,,,
1,1479,2.6438043117523193,0.5703125,0.7734375,,,
