step,epoch,loss_qfl,loss_bbox,loss_dfl
7951,12,0.4334,0.3424,0.2115
8001,12,0.3672,0.3496,0.2045
8051,12,0.342,0.3851,0.2081
8101,12,0.5282,0.3654,0.1895
8151,12,0.3802,0.3865,0.2327
8201,12,0.3951,0.404,0.2146
8251,12,0.4214,0.3826,0.2069
8301,12,0.4449,0.3737,0.2011
8351,12,0.4762,0.3904,0.2201
8401,12,0.4248,0.4052,0.2092
8451,12,0.4428,0.4227,0.219
8501,12,0.4422,0.4127,0.2101
8551,13,0.3882,0.3959,0.2135
8601,13,0.3814,0.3677,0.2022
8651,13,0.3701,0.3601,0.1946
8701,13,0.3685,0.392,0.2185
8751,13,0.519,0.3795,0.2127
8801,13,0.3879,0.4068,0.2133
8851,13,0.4176,0.4268,0.2449
8901,13,0.5065,0.4178,0.2115
8951,13,0.446,0.3358,0.1935
9001,13,0.4381,0.378,0.2253
9051,13,0.4181,0.3848,0.2176
9101,13,0.4324,0.4055,0.2135
9151,13,0.405,0.3355,0.1904
9201,13,0.3911,0.3738,0.203
9251,14,0.4446,0.3609,0.2026
9301,14,0.4398,0.4022,0.2204
9351,14,0.4667,0.3794,0.2112
9401,14,0.3437,0.3812,0.2127
9451,14,0.4544,0.3772,0.1998
9501,14,0.4701,0.4329,0.2291
9551,14,0.4089,0.4055,0.2309
9601,14,0.4059,0.4151,0.1954
9651,14,0.4297,0.3758,0.2088
9701,14,0.4311,0.3943,0.2106
9751,14,0.3643,0.3644,0.2022
9801,14,0.3649,0.3997,0.2092
9851,14,0.3824,0.3706,0.2115
9901,14,0.4584,0.3861,0.2241
9951,14,0.4397,0.3646,0.2127
10001,15,0.4647,0.402,0.2195
10051,15,0.4388,0.3293,0.2066
10101,15,0.4424,0.3486,0.1991
10151,15,0.5,0.3837,0.2125
10201,15,0.4484,0.3652,0.2044
10251,15,0.4799,0.4099,0.2133
10301,15,0.4168,0.3016,0.2032
10351,15,0.4732,0.3609,0.2208
10401,15,0.4415,0.4188,0.2155
10451,15,0.4404,0.3769,0.2109
10501,15,0.4755,0.3761,0.2129
10551,15,0.4612,0.3915,0.2276
10601,15,0.3952,0.4525,0.2152
10651,15,0.3436,0.4029,0.2312
10701,16,0.3894,0.3705,0.2054
10751,16,0.4167,0.4228,0.2164
10801,16,0.4435,0.308,0.197
10851,16,0.4023,0.4087,0.208
10901,16,0.3898,0.3479,0.2073
10951,16,0.4667,0.3818,0.2131
11001,16,0.3597,0.3472,0.2075
11051,16,0.4798,0.3078,0.191
11101,16,0.4274,0.3366,0.2045
11151,16,0.4551,0.4125,0.2087
11201,16,0.4217,0.3099,0.2097
11251,16,0.426,0.3971,0.2154
11301,16,0.3648,0.407,0.2133
11351,16,0.4285,0.3817,0.2085
11401,17,0.4218,0.3754,0.225
