epoch,mAP,AP50,AP75,AP_small,AP_medium,AP_large
10,0.3866,0.5938,0.4172,0.0071,0.0587,0.4542
20,0.4465,0.6635,0.4804,0.0090,0.0760,0.5215
30,0.4591,0.6786,0.4955,0.0091,0.0802,0.5353
