label,ebird_code,scientific_name
turdus migratorius,amerob,turdus migratorius
turdus philomelos,sonthr1,turdus philomelos
turdus pilaris,fieldf,turdus pilaris
turdus torquatus,rinouz1,turdus torquatus
turdus viscivorus,misthr1,turdus viscivorus
tyto alba,webowl1,tyto alba
upupa epops,hoopoe,upupa epops
uria aalge,commur,uria aalge
vanellus spinosus,spwlap1,vanellus spinosus
vanellus vanellus,norlap,vanellus vanellus
zenaida macroura,moudov,zenaida macroura
zonotrichia albicollis,whtspa,zonotrichia albicollis
zonotrichia leucophrys,whcspa,zonotrichia leucophrys
