epoch,step,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
0,9,6.06184196472168,0.0,0.015625,,,
0,19,5.887812614440918,0.0078125,0.109375,,,
0,29,5.7806220054626465,0.0390625,0.1171875,,,
0,39,5.682973384857178,0.0390625,0.1015625,,,
0,49,5.164027690887451,0.109375,0.25,,,
0,59,4.994973659515381,0.125,0.2578125,,,
0,69,4.86597204208374,0.09375,0.2734375,,,
0,79,4.654454231262207,0.109375,0.28125,,,
0,89,4.38491153717041,0.171875,0.3984375,,,
0,99,4.336907386779785,0.171875,0.40625,,,
0,109,4.1721086502075195,0.2109375,0.453125,,,
0,119,3.9922854900360107,0.2109375,0.5390625,,,
0,129,4.099677085876465,0.25,0.5234375,,,
0,139,3.8563382625579834,0.2578125,0.5625,,,
0,149,3.9897735118865967,0.265625,0.5234375,,,
0,159,3.675499439239502,0.2578125,0.59375,,,
0,169,3.7217440605163574,0.28125,0.6015625,,,
0,179,3.731018543243408,0.34375,0.6015625,,,
0,189,3.701646089553833,0.3671875,0.6171875,,,
0,199,3.449571132659912,0.265625,0.5859375,,,
0,209,3.4546661376953125,0.359375,0.65625,,,
0,219,3.4316720962524414,0.3828125,0.6875,,,
0,229,3.7513294219970703,0.3515625,0.6171875,,,
0,239,3.399156093597412,0.40625,0.6953125,,,
0,249,3.2808194160461426,0.3515625,0.7421875,,,
0,259,3.439577579498291,0.3828125,0.640625,,,
0,269,3.3467702865600586,0.4375,0.703125,,,
0,279,3.2278032302856445,0.4296875,0.7265625,,,
0,289,3.5426933765411377,0.3671875,0.640625,,,
0,299,3.3679637908935547,0.3984375,0.671875,,,
0,309,3.2002501487731934,0.4609375,0.734375,,,
0,319,3.297271728515625,0.3984375,0.6796875,,,
0,329,2.965001106262207,0.4609375,0.734375,,,
0,339,3.1790566444396973,0.4296875,0.734375,,,
0,349,3.339895725250244,0.359375,0.640625,,,
0,359,3.0511434078216553,0.4453125,0.7578125,,,
0,369,2.9546022415161133,0.4765625,0.75,,,
0,379,3.104917526245117,0.421875,0.7421875,,,
0,389,3.157419204711914,0.4140625,0.6796875,,,
0,399,2.975168228149414,0.4453125,0.7890625,,,
0,409,3.1263246536254883,0.5234375,0.7734375,,,
0,419,3.099182605743408,0.4921875,0.7421875,,,
0,429,3.091796398162842,0.4921875,0.703125,,,
0,439,3.259770393371582,0.453125,0.7109375,,,
0,449,3.109032154083252,0.421875,0.703125,,,
0,459,3.2030181884765625,0.46875,0.75,,,
0,469,2.6914522647857666,0.5234375,0.828125,,,
0,479,2.8349902629852295,0.546875,0.7578125,,,
0,489,2.751946449279785,0.5234375,0.84375,,,
0,499,2.8497915267944336,0.5,0.7734375,,,
0,509,3.0141797065734863,0.4921875,0.703125,,,
0,519,2.8761136531829834,0.46875,0.7421875,,,
0,529,2.9808008670806885,0.5546875,0.78125,,,
0,539,3.0986971855163574,0.5,0.734375,,,
0,549,2.799701690673828,0.4921875,0.796875,,,
0,559,2.938157796859741,0.546875,0.7265625,,,
0,569,2.815885305404663,0.5390625,0.71875,,,
0,579,3.144111156463623,0.4453125,0.7265625,,,
0,589,2.770636558532715,0.5390625,0.8515625,,,
0,599,2.9809136390686035,0.5078125,0.7734375,,,
0,609,2.909144878387451,0.515625,0.7578125,,,
0,619,2.6875991821289062,0.5546875,0.7890625,,,
0,629,2.9011101722717285,0.515625,0.734375,,,
0,639,2.8640623092651367,0.5234375,0.7734375,,,
0,649,2.9850716590881348,0.5,0.7734375,,,
0,659,3.0446434020996094,0.5546875,0.7734375,,,
0,669,3.0653514862060547,0.4765625,0.71875,,,
0,679,2.873412609100342,0.5234375,0.7734375,,,
0,689,2.888169765472412,0.5625,0.78125,,,
0,699,2.8163294792175293,0.546875,0.7890625,,,
0,709,3.177783489227295,0.4609375,0.703125,,,
0,719,2.6164684295654297,0.59375,0.859375,,,
0,729,2.7930517196655273,0.5625,0.828125,,,
0,739,2.752047538757324,0.546875,0.7890625,,,
0,749,2.7040748596191406,0.5078125,0.7734375,,,
0,750,,,,2.7881147861480713,0.5745416283607483,0.8029334545135498
1,759,2.887230396270752,0.6015625,0.8203125,,,
1,769,2.436873197555542,0.6484375,0.8671875,,,
1,779,2.7694244384765625,0.5390625,0.84375,,,
1,789,2.6108555793762207,0.6171875,0.8203125,,,
1,799,2.714376926422119,0.5859375,0.8125,,,
1,809,2.6486363410949707,0.6015625,0.796875,,,
1,819,2.4964640140533447,0.6015625,0.8203125,,,
1,829,2.5152149200439453,0.6484375,0.8359375,,,
1,839,2.98013973236084,0.5234375,0.765625,,,
1,849,2.496809720993042,0.5859375,0.8203125,,,
1,859,2.7659242153167725,0.5703125,0.8046875,,,
1,869,2.431769371032715,0.609375,0.8515625,,,
1,879,2.6020615100860596,0.625,0.8125,,,
1,889,2.7280731201171875,0.6015625,0.8125,,,
1,899,3.023329257965088,0.4921875,0.7578125,,,
1,909,2.41550350189209,0.6015625,0.8359375,,,
1,919,2.419588804244995,0.640625,0.828125,,,
1,929,2.6655685901641846,0.5703125,0.828125,,,
1,939,2.4736061096191406,0.6171875,0.84375,,,
1,949,2.556373119354248,0.6484375,0.859375,,,
1,959,2.692805290222168,0.5859375,0.84375,,,
1,969,2.353292465209961,0.6171875,0.890625,,,
1,979,2.5928730964660645,0.6015625,0.84375,,,
1,989,2.7627556324005127,0.53125,0.828125,,,
1,999,2.46822452545166,0.6328125,0.828125,,,
1,1009,2.7254786491394043,0.5703125,0.7265625,,,
1,1019,2.7538132667541504,0.546875,0.828125,,,
1,1029,2.739333391189575,0.5703125,0.8125,,,
1,1039,2.809724807739258,0.5546875,0.75,,,
1,1049,2.303159236907959,0.640625,0.8125,,,
